domain,scenario,loss,num_rounds
behavior,1,0.010698227211833,4
behavior,2,0.8123327493667603,6
behavior,3,0.6433205604553223,6
behavior,4,0.703993558883667,6
behavior,5,0.9502415060997009,7
behavior,6,0.8213955760002136,6
behavior,7,0.8231328725814819,6
behavior,8,0.689778208732605,6
behavior,9,0.22739914059638977,4
behavior,10,0.015341699123382568,4
healthcare,1,0.3266397714614868,6
healthcare,2,0.763509213924408,6
healthcare,3,0.39188671112060547,6
healthcare,4,0.5885375738143921,6
healthcare,5,0.6407680511474609,6
healthcare,6,0.8876245021820068,6
healthcare,7,0.2681102156639099,6
healthcare,8,0.01956144906580448,6
healthcare,9,0.16380450129508972,6
healthcare,10,0.3596351146697998,6
politics,1,1.0010886192321777,5
politics,2,1.0072466135025024,6
politics,3,0.8058451414108276,5
politics,4,1.150786280632019,6
politics,5,0.7252178192138672,5
politics,6,1.009378433227539,6
politics,7,0.817376971244812,7
politics,8,0.8661540746688843,7
politics,9,0.7895686626434326,7
politics,10,0.7597086429595947,8
science,1,1.0921097993850708,4
science,2,0.9875315427780151,4
science,3,0.9374517202377319,4
science,4,1.037445068359375,4
science,5,0.37354806065559387,5
science,6,0.5927888751029968,6
science,7,0.7522121667861938,5
science,8,0.26700425148010254,4
science,9,0.8352513313293457,4
science,10,0.46270060539245605,5
sports,1,1.1682257652282715,6
sports,2,0.7524958252906799,7
sports,3,0.9100845456123352,7
sports,4,1.1648837327957153,4
sports,5,0.49935054779052734,4
sports,6,0.023088695481419563,5
sports,7,0.018604576587677002,5
sports,8,0.014276048168540001,5
sports,9,0.01443348079919815,5
sports,10,0.0038017025217413902,6
